,Team,Total Score,Rank
8,Little Fingers’ Little Finger,49,1.0
39,Ser Hand Rale of House Bannister,46,2.0
6,Safari Ary,44,3.0
1,No Ygrittes,43,4.0
12,All Bronn and no brains,42,5.0
13,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",41,8.0
34,"S'now way, Jose!",41,8.0
25,"Ser Dunton, Knight of the Laughing Tree",41,8.0
17,Stop Dragon My Horse Heart Around,40,9.0
23,Bri-Enne Of Green Gables,39,12.0
5,Flea Bottom Feeders,39,12.0
41,Mountain Mellon Crushers,39,12.0
40,Lady Kristi of the House of Brooks,37,14.0
37,Matton Of The Hounds,37,14.0
35,Tormund's Member Rewards Club,36,15.0
42,Bronn: The Decision,35,18.0
43,Lord Ben-ish,35,18.0
26,The House of Lesbian Poets,35,18.0
18,"Ygritte in the Streets, Khaleesi in the Sheets",34,22.0
14,Xander's Dragons,34,22.0
2,A Girl Has No Team Name,34,22.0
16,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",34,22.0
36,Bronn Swanson,33,23.0
15,House Magnus,32,25.0
3,Sword Swallowers through and through,32,25.0
19,A Team Has No Name,31,27.0
4,A Wizard of Cersei,31,27.0
21,Davis the Bastard of Voltron,30,31.0
24,Lil' Jon Snow White,30,31.0
11,Dany Snow,30,31.0
27,The Ed Sheeran Fan Club,30,31.0
38,Sept of Baylor was an Inside job,29,34.0
9,Stark Raving Mad,29,34.0
7,Sand Snake Realness,29,34.0
28,Aaron on the Throne,28,39.0
31,Just Here for CleganeBowl,28,39.0
32,Lady Stoneheart,28,39.0
22,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",28,39.0
20,That’s what I do: I drink and I know things.,28,39.0
29,"Breaker of Fasts, Mother of Brunches",26,42.0
33,Arya Dead Yet?,26,42.0
0,Bri-Anne,26,42.0
10,Lady Elizabeth of House Wray,23,43.0
30,Enjol-Raki ,22,44.0
